titles_years,genres,ratings,streamings,justwatchs
 HAIKYU!! The Dumpster Battle (2024),"Animation, Drama, Sport, Comedy",7.8 (3.2k),Unavalilabe,https://www.justwatch.com/in/movie/haikyu-the-movie-decisive-battle-at-the-garbage-dump
 Spider-Man: No Way Home (2021),"Action & Adventure, Science-Fiction, Fantasy",8.2 (896k),"Currently you are able to watch ""Spider-Man: No Way Home"" streaming on Netflix. It is also possible to buy ""Spider-Man: No Way Home"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Google Play Movies, YouTube, Apple TV, Tata Play online. ",https://www.justwatch.com/in/movie/spider-man-no-way-home
 The Garfield Movie (2024),"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy",5.7 (14k),Unavalilabe,https://www.justwatch.com/in/movie/garfield-2021
 Maharaja (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",8.7 (31k),"Currently you are able to watch ""Maharaja"" streaming on Netflix. ",https://www.justwatch.com/in/movie/maharaja-2024
 Kalki 2898-AD (2024),"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6 (42k),Unavalilabe,https://www.justwatch.com/in/movie/project-k
 Kill (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.7 (14k),Unavalilabe,https://www.justwatch.com/in/movie/kill-2024
 Munjya (2024),"Comedy, Horror",7.2 (15k),Unavalilabe,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),"Currently you are able to watch ""The Gangster, the Cop, the Devil"" streaming on Lionsgate Play. ",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Instigators (2024),"Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller",6.7 ,Unavalilabe,https://www.justwatch.com/in/movie/the-instigators
 The Union (2024),Mystery & Thriller,,Unavalilabe,https://www.justwatch.com/in/movie/the-union
 Nice Girls (2024),"Comedy, Crime, Action & Adventure",,Unavalilabe,https://www.justwatch.com/in/movie/nice-girls
 Secret Lives of Orangutans (2024),Documentary,,Unavalilabe,https://www.justwatch.com/in/movie/secret-lives-of-orangutans
 Apollo 13: Survival (2024),Documentary,,Unavalilabe,https://www.justwatch.com/in/movie/apollo-13-survival
